Pattern: *dot_issue*
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[16] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[16]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[16]_i_1_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[16]_i_1/CO[3]
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[17] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[17]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[18] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[18]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[19] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[19]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[1] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[1]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[20] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[20]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[20]_i_1_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[20]_i_1/CO[3]
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[21] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[21]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[22] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[22]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[23] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[23]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[24] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[24]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[24]_i_1_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[24]_i_1/CO[3]
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[25] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[25]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[26] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[26]/Q
